ZN_TY,SISUL_TY,SISUL_NM,RD_ADDR,LA,LO,PLC_STN,CCTV_YN,CCTV_CT,RD_WIDE,STD_DATE
노인보호구역,여가복지,서구노인복지관,대전광역시 서구 남선로 66,36.345506,127.396602,둔산경찰서,N,0,10,2020-06-30
노인보호구역,여가복지,건능골경로당,대전광역시 서구 갈마로103번길 41,36.344842,127.371603,둔산경찰서,N,0,8,2020-06-30
노인보호구역,여가복지,신선암경로당,대전광역시 서구 관저로129번길 26,36.299886,127.336687,서부경찰서,N,0,8,2020-06-30
노인보호구역,여가복지,남선경로당,대전광역시 서구 도솔로483번길 81,36.344805,127.399601,둔산경찰서,N,0,6,2020-06-30
노인보호구역,여가복지,변동갓골경로당,대전광역시 서구 중반4길 23,36.327385,127.38271,서부경찰서,N,0,3,2020-06-30
노인보호구역,여가복지,갈마제1경로당,대전광역시 서구 신갈마로167번길 20,36.348722,127.367108,둔산경찰서,N,0,5,2020-06-30
노인보호구역,여가복지,원정1경로당,대전광역시 서구 노적골길 2,36.258053,127.301427,서부경찰서,N,0,7,2020-06-30
노인보호구역,여가복지,산적골경로당,대전광역시 서구 사마4길 25,36.316939,127.375833,서부경찰서,N,0,5,2020-06-30
노인보호구역,여가복지,평촌2경로당,대전광역시 서구 길마루길 49,36.239404,127.315636,서부경찰서,N,0,4,2020-06-30
노인보호구역,여가복지,가장골경로당,대전광역시 서구 동서대로1005번길 78,36.335516,127.376914,서부경찰서,N,0,4,2020-06-30
노인보호구역,여가복지,도마1동세심경로당,대전광역시 서구 도마17길 60,36.319833,127.381557,서부경찰서,N,0,4,2020-06-30
노인보호구역,여가복지,정림공굴안경로당,대전광역시 서구 계백로1307번길 51,36.310924,127.367452,서부경찰서,N,0,5,2020-06-30
노인보호구역,주거복지,연광실버타운,대전광역시 서구 영골길 159,36.22591,127.313697,서부경찰서,N,0,3,2020-06-30
노인보호구역,여가복지,백야경로당,대전광역시 서구 가수원로 17-16,36.296776,127.354448,서부경찰서,N,0,4,2020-06-30
노인보호구역,여가복지,유등노인복지관,대전광역시 서구 도솔로 182,36.326956,127.374262,서부경찰서,N,0,7,2020-06-30
노인보호구역,주거복지,엠마오양로원,대전광역시 서구 금평6길 18,36.252581,127.340925,서부경찰서,Y,2,4,2020-06-30
노인보호구역,여가복지,산직1경로당,대전광역시 서구 용바위길 1,36.235399,127.342474,서부경찰서,N,0,4,2020-06-30
노인보호구역,여가복지,장안1경로당,대전광역시 서구 장안로 560,36.213681,127.33686,서부경찰서,N,0,6,2020-06-30
노인보호구역,여가복지,평촌1경로당 ,대전광역시 서구 길평길 5,36.239041,127.318439,서부경찰서,Y,1,3,2020-06-30
노인보호구역,여가복지,오동경로당,대전광역시 서구 장전길 49,36.22973,127.317107,서부경찰서,N,0,4,2020-06-30
노인보호구역,여가복지,우명2경로당,대전광역시 서구 우명길 46,36.224159,127.294917,서부경찰서,N,0,3,2020-06-30
노인보호구역,여가복지,명암경로당,대전광역시 서구 계백로1249번안길 36-36,36.311085,127.358853,서부경찰서,N,0,4,2020-06-30
노인보호구역,여가복지,변정경로당,대전광역시 서구 변정3길 18,36.323284,127.382724,서부경찰서,N,0,4,2020-06-30
노인보호구역,여가복지,한민경로당,대전광역시 서구 도솔로308번길 25-1,36.334747,127.383908,서부경찰서,N,0,4,2020-06-30
노인보호구역,여가복지,도마1경로당,대전광역시 서구 도마시장1길 88,36.315259,127.381229,서부경찰서,N,0,7,2020-06-30
노인보호구역,여가복지,삼천경로당,대전광역시 서구 둔산남로191번길 24,36.350005,127.398923,둔산경찰서,N,0,4,2020-06-30
노인보호구역,여가복지,월평경로당,대전광역시 서구 월평로27번길 1,36.356735,127.360173,둔산경찰서,N,0,6,2020-06-30
어린이보호구역,초등학교,갑천초등학교,대전광역시 서구 월평동로61,36.36083383,127.367695,둔산경찰서,Y,2,6~20,2020-06-30
어린이보호구역,초등학교,둔산초등학교,대전광역시 서구 둔산로74번길20,36.34992278,127.3813739,둔산경찰서,Y,2,6~20,2020-06-30
어린이보호구역,초등학교,성천초등학교,대전광역시 서구 갈마역로139,36.3631445,127.3734829,둔산경찰서,Y,2,6~20,2020-06-30
어린이보호구역,초등학교,정림초등학교,대전광역시 서구 정림로32,36.30354394,127.366553,서부경찰서,Y,2,6~20,2020-06-30
어린이보호구역,초등학교,가수원초등학교,대전광역시 서구 벌곡로 1359,36.30239524,127.3530012,서부경찰서,Y,1,6~20,2020-06-30
어린이보호구역,초등학교,서원초등학교,대전광역시 서구 문정로279,36.35962904,127.3939623,둔산경찰서,Y,1,6~20,2020-06-30
어린이보호구역,초등학교,월평초등학교,대전광역시 서구 월평서로22,36.35594353,127.3577706,둔산경찰서,Y,1,20,2020-06-30
어린이보호구역,초등학교,봉산초등학교,대전광역시 서구 신갈마로141번길45,36.345201,127.3652656,둔산경찰서,Y,1,8~12,2020-06-30
어린이보호구역,초등학교,내동초등학교,대전광역시 서구 동서대로1063번길13,36.33114544,127.379264,서부경찰서,Y,2,8~35,2020-06-30
어린이보호구역,초등학교,도마초등학교,대전광역시 서구 도솔로175번길28,36.32641589,127.372421,서부경찰서,Y,1,6~20,2020-06-30
어린이보호구역,초등학교,복수초등학교,대전광역시 서구 복수4길83,36.306408,127.370872,서부경찰서,Y,1,6~12,2020-06-30
어린이보호구역,초등학교,한밭초등학교,대전광역시 서구 문정로221,36.35427158,127.394285,둔산경찰서,Y,2,8~25,2020-06-30
어린이보호구역,초등학교,둔천초등학교,대전광역시 서구 만년로3,36.368403,127.373939,둔산경찰서,Y,2,20~35,2020-06-30
어린이보호구역,초등학교,만년초등학교,대전광역시 서구 만년동 280,36.367131,127.377288,둔산경찰서,Y,2,20,2020-06-30
어린이보호구역,초등학교,성룡초등학교,대전광역시 서구 갈마역로125,36.36182488,127.373585,둔산경찰서,Y,5,8~20,2020-06-30
어린이보호구역,초등학교,갈마초등학교,대전광역시 서구 월평동로2,36.3559347,127.3689741,둔산경찰서,Y,3,20~25,2020-06-30
어린이보호구역,초등학교,삼천초등학교,대전광역시 서구 둔산북로232-33,36.35436795,127.4010169,둔산경찰서,Y,1,10~20,2020-06-30
어린이보호구역,초등학교,가장초등학교,대전광역시 서구 가장로150,36.33063833,127.3878688,서부경찰서,Y,3,6~15,2020-06-30
어린이보호구역,초등학교,탄방초등학교,대전광역시 서구 탄방로15,36.34604186,127.3909975,둔산경찰서,Y,1,6~15,2020-06-30
어린이보호구역,초등학교,둔원초등학교,대전광역시 서구 대덕대로112번길10,36.34309047,127.374989,둔산경찰서,Y,3,8~40,2020-06-30
어린이보호구역,초등학교,문정초등학교,대전광역시 서구 문정로180,36.35037915,127.396215,둔산경찰서,Y,3,8~25,2020-06-30
어린이보호구역,초등학교,샘머리초교,대전광역시 서구 유등로879,36.36339827,127.3932548,둔산경찰서,Y,1,20,2020-06-30
어린이보호구역,초등학교,백운초등학교,대전광역시 서구 계룡로576번길56,36.34084703,127.3844708,서부경찰서,Y,1,6~10,2020-06-30
어린이보호구역,초등학교,관저초등학교,대전광역시 서구 관저동로161,36.30656059,127.339971,서부경찰서,N,0,25,2020-06-30
어린이보호구역,초등학교,변동초등학교,대전광역시 서구 유등로373,36.32497541,127.385691,서부경찰서,Y,3,6~8,2020-06-30
어린이보호구역,초등학교,기성초등학교,대전광역시 서구 기성초교길 52,36.248647,127.339427,서부경찰서,Y,1,6,2020-06-30
어린이보호구역,초등학교,삼육초등학교,대전광역시 서구 도림1길15,36.31184344,127.3724191,서부경찰서,Y,1,6,2020-06-30
어린이보호구역,초등학교,서부초등학교,대전광역시 서구 동서대로968,36.33353056,127.369265,서부경찰서,Y,1,6~45,2020-06-30
어린이보호구역,초등학교,금동초등학교,대전광역시 서구 관저로45,36.29821731,127.326386,서부경찰서,N,0,25~35,2020-06-30
어린이보호구역,초등학교,구봉초등학교,대전광역시 서구 관저로75,36.299795,127.3300549,서부경찰서,Y,2,25~30,2020-06-30
어린이보호구역,초등학교,선암초등학교,대전광역시 서구 관저중로61,36.297492,127.3340399,서부경찰서,N,0,35~40,2020-06-30
어린이보호구역,초등학교,수미초등학교,대전광역시 서구 괴곡길42,36.29528642,127.3615412,서부경찰서,Y,2,8~10,2020-06-30
어린이보호구역,초등학교,원앙초등학교,대전광역시 서구 관저북로 97,36.31153938,127.337133,서부경찰서,Y,1,25,2020-06-30
어린이보호구역,초등학교,유천초등학교,대전광역시 서구 제비네6길 69,36.31523853,127.3755926,서부경찰서,Y,2,6~15,2020-06-30
어린이보호구역,초등학교,느리울초등학교,대전광역시 서구 관저로196,36.29888811,127.3442527,서부경찰서,Y,3,25,2020-06-30
어린이보호구역,유치원,한양유치원,대전광역시 서구 계룡로571번길 65,36.3438214,127.3867481,둔산경찰서,Y,1,10~20,2020-06-30
어린이보호구역,유치원,명화유치원,대전광역시 서구 조달청길 180,36.31891309,127.381997,서부경찰서,Y,1,10,2020-06-30
어린이보호구역,유치원,무지개유치원,대전광역시 서구 도솔로 173,36.3261166,127.373644,서부경찰서,Y,1,6~12,2020-06-30
어린이보호구역,유치원,느리울유치원,대전광역시 서구 구봉로 147번길 64,36.299256,127.338673,서부경찰서,Y,1,10~25,2020-06-30
어린이보호구역,유치원,하이캠유치원,대전광역시 서구 계룡로325번길 16,36.355112,127.3654944,둔산경찰서,Y,1,8,2020-06-30
어린이보호구역,초등학교,길헌분교,대전광역시 서구 당고개길 48,36.241794,127.3163407,서부경찰서,Y,1,8,2020-06-30
어린이보호구역,초등학교,신계초등학교,대전광역시 서구 복수동로 26,36.30192935,127.378058,서부경찰서,Y,2,8~25,2020-06-30
어린이보호구역,어린이집,다예린어린이집,대전광역시 서구 도솔로 267번길 8,36.3337525,127.3789739,서부경찰서,Y,1,6~10,2020-06-30
어린이보호구역,유치원,다모아유치원,대전광역시 서구 월평동로 83,36.36117432,127.3663032,둔산경찰서,Y,1,20,2020-06-30
어린이보호구역,유치원,은아유치원,대전광역시 서구 가수원로 72,36.30232914,127.3521904,서부경찰서,Y,1,15,2020-06-30
어린이보호구역,유치원,평화유치원,대전광역시 서구 월평중로13번길 53,36.35552364,127.360709,둔산경찰서,Y,1,8,2020-06-30
어린이보호구역,유치원,돌샘유치원,대전광역시 서구 계백로1300번길 124,36.303071,127.369258,서부경찰서,Y,2,8,2020-06-30
어린이보호구역,어린이집,대전시립어린이집,대전광역시 서구 신갈마로195번길 51,36.35065165,127.364982,둔산경찰서,Y,1,8,2020-06-30
어린이보호구역,어린이집,둔산큰별어린이집,대전광역시 서구 도솔로 454,36.343706,127.394233,둔산경찰서,Y,1,15,2020-06-30
어린이보호구역,어린이집,푸르니어린이집,대전광역시 서구 정림로10번길 41,36.302331,127.3684144,서부경찰서,Y,1,8,2020-06-30
어린이보호구역,어린이집,키즈아일랜드어린이집,대전광역시 서구 유등로17번길 78,36.29740469,127.375997,서부경찰서,Y,1,15,2020-06-30
어린이보호구역,어린이집,소야어린이집,대전광역시 서구 유등로43번길 6-13,36.297945,127.380978,서부경찰서,Y,1,8,2020-06-30
어린이보호구역,어린이집,별나라어린이집,대전광역시 서구 계룡로354번길20,36.352729,127.367269,둔산경찰서,Y,1,8,2020-06-30
어린이보호구역,어린이집,다원어린이집,대전광역시 서구 계백로1300번길 30,36.307042,127.367473,둔산경찰서,Y,1,8,2020-06-30
어린이보호구역,어린이집,예뻐뽀어린이집,대전광역시 서구 복수동로87번길 29-9,36.296261,127.379241,서부경찰서,Y,1,8,2020-06-30
어린이보호구역,초등학교,도안초등학교,대전광역시 서구 원도안로 200,36.32187483,127.344474,둔산경찰서,N,0,15~20,2020-06-30
어린이보호구역,어린이집,달이어린이집,대전광역시 서구 가장로 132,36.33205303,127.3873591,서부경찰서,Y,1,15,2020-06-30
어린이보호구역,어린이집,EBS하늘어린이집,대전광역시 서구 들말2길 55,36.330121,127.383981,서부경찰서,Y,1,6,2020-06-30
어린이보호구역,유치원,산새소리유치원,대전광역시 서구 갈마로183번길 41,36.33960027,127.378026,둔산경찰서,Y,1,8,2020-06-30
어린이보호구역,유치원,대자연유치원,대전광역시 서구 관저동 원앙마을2길 34,36.294499,127.332929,서부경찰서,Y,1,25,2020-06-30
어린이보호구역,유치원,우정유치원,대전광역시 서구 관저서로 47,36.2966006,127.329621,서부경찰서,Y,1,30~35,2020-06-30
어린이보호구역,유치원,밝은빛유치원,대전광역시 서구 가수원로65번길 44,36.298455,127.350908,서부경찰서,Y,1,6,2020-06-30
어린이보호구역,유치원,나은유치원,대전광역시 서구 관저북로92,36.30996365,127.3373001,서부경찰서,Y,1,20,2020-06-30
어린이보호구역,유치원,나래유치원,대전광역시 서구 정림로 55,36.30457227,127.3650801,서부경찰서,Y,1,25,2020-06-30
어린이보호구역,유치원,아이누리유치원,대전광역시 서구 관저서로 70,36.298644,127.3296986,서부경찰서,N,0,25~30,2020-06-30
어린이보호구역,유치원,혜천유치원,대전광역시 서구 혜천로 100,36.30178514,127.3757686,서부경찰서,N,0,25,2020-06-30
어린이보호구역,유치원,맑은해유치원,대전광역시 서구 신갈마로 102,36.34313615,127.3695732,둔산경찰서,Y,1,8,2020-06-30
어린이보호구역,유치원,녹원유치원,대전광역시 서구 둔산남로 30,36.34842317,127.3813888,둔산경찰서,Y,1,12,2020-06-30
어린이보호구역,유치원,은새유치원,대전광역시 서구 문정로90번길 60,36.3457957,127.3879975,둔산경찰서,Y,1,10~20,2020-06-30
어린이보호구역,어린이집,삼성어린이집,대전광역시 서구 용화5길 63,36.321405,127.375542,서부경찰서,Y,1,6,2020-06-30
어린이보호구역,어린이집,새싹어린이집,대전광역시 서구 용문로 113,36.334418,127.393812,서부경찰서,Y,1,15,2020-06-30
