INDEX,STD_DATE,TCKT_NMBR,TP_CR,TCKT_ADDR,DONG,TW_CR,LA,LO
1,2018-01-02,1,자동차,대전시 서구 둔산동 1116 두운힐스타운 지하2층 주차장 내,둔산2동,Y,36.350208,127.375181
2,2018-01-02,1,자동차,대전시 서구 월평동 18-2 월평타운아파트 107동 지하주차장,월평1동,Y,36.35209,127.359668
3,2018-01-02,1,자동차,"대전시 서구 탄방동 765 한우리아파트 109동 뒤 도로, 탄방동 789 두울샤브칼국수 앞",탄방동,Y,36.344877,127.388269
4,2018-01-02,1,자동차,대전시 서구 탄방동 1478-1,탄방동,Y,36.346977,127.400808
5,2018-01-02,1,자동차,대전시 서구 복수동 775,복수동,Y,36.297135,127.377275
6,2018-01-02,1,자동차,대전시 서구 갈마동 268-7,갈마1동,Y,36.352806,127.370514
7,2018-01-02,1,자동차,"대전시 서구 관저북로52, 대자연마을아파트 106동 지하주차장 내",관저1동,Y,36.305758,127.338245
8,2018-01-02,1,자동차,대전시 서구 월평북로 11 대전둔산3 301동 앞 주차장 내,월평2동,Y,36.363602,127.372066
9,2018-01-02,1,자동차,대전시 서구 도안동로 177 수목토아파트 116동 지하주차장 내,가수원동,Y,36.319654,127.34618
10,2018-01-02,1,자동차,대전시 서구 용문동 218-9,용문동,Y,36.341846,127.400146
11,2018-01-02,1,자동차,대전시 서구 괴정동 426-6,괴정동,Y,36.339269,127.389516
12,2018-01-02,1,자동차,대전시 서구 갈마동 386-12,갈마1동,Y,36.345103,127.367647
13,2018-01-02,1,자동차,"대전시 서구 관저동 1599, 103동 옆 주차장",관저2동,Y,36.293199,127.343996
14,2018-01-02,1,자동차,"대전시 서구 둔산중로 138, 주은오피스텔 지하2층",둔산2동,Y,36.359057,127.387189
15,2018-01-02,1,자동차,대전시 서구 갈마동 1261,갈마2동,Y,36.341935,127.373599
16,2018-01-02,1,자동차,대전시 서구 변동 38-43,변동,Y,36.325849,127.386046
17,2018-01-02,1,자동차,대전시 서구 복수동 576 초록마을 5단지 5번 지하주차장,복수동,Y,36.298096,127.373248
18,2018-01-02,1,자동차,대전시 서구 괴정동 8-11,괴정동,Y,36.342053,127.38417
19,2018-01-02,1,자동차,"대전시 서구 용문로89-6, 대운하이츠빌라 2동 지하주차장 내",용문동,Y,36.33603,127.392449
20,2018-01-02,1,자동차,대전시 서구 월평동 1187,월평1동,N,36.355518,127.356922
21,2018-01-03,1,자동차,대전시 서구 둔산동 1399 대전경찰청 내,둔산1동,N,36.355058,127.385883
22,2018-01-03,1,자동차,대전시 서구 둔산동 1399 대전경찰청 내,둔산1동,Y,36.355058,127.385883
23,2018-01-03,1,자동차,대전시 서구 탄방동 80-1 전자타운 앞,탄방동,N,36.340147,127.393798
24,2018-01-04,1,자동차,대전시 서구 도마동 358-5,도마2동,N,36.319122,127.371353
25,2018-01-07,1,자동차,대전시 서구 월평동 799 도로,월평1동,N,36.350182,127.361767
26,2018-01-07,1,자동차,대전시 서구 월평동 282-1 나라키움 대전센터 내,월평2동,N,36.358643,127.378546
27,2018-01-07,1,자동차,대전시 서구 갈마동 396-5 규리빌라 301호,갈마2동,N,36.345358,127.371566
28,2018-01-07,1,자동차,대전시 서구 가수원중로 47번길34,가수원동,N,36.299877,127.353794
29,2018-01-07,1,자동차,대전시 서구 가수원동 은아아파트 505동 지하주차장 내,가수원동,N,36.296627,127.356236
30,2018-01-08,1,자동차,대전시 서구 괴정동 135-21,괴정동,N,36.338042,127.375457
31,2018-01-08,1,자동차,대전시 서구 변동 77-13,변동,N,36.329589,127.372016
32,2018-01-08,1,자동차,대전시 서구 도마동 175-25,도마1동,Y,36.313235,127.38149
33,2018-01-08,1,자동차,대전시 서구 가장동 36-1,가장동,N,36.328514,127.385434
34,2018-01-15,1,자동차,대전시 서구 내동 40-1 유진아트빌 주차장 내,내동,N,36.3352,127.376437
35,2018-01-22,1,자동차,대전시 서구 변동 46-1,변동,N,36.324076,127.383019
36,2018-01-22,1,자동차,대전시 서구 복수동 863번지,복수동,N,36.297333,127.378865
37,2018-01-22,1,자동차,대전시 서구 변동 48-42,변동,Y,36.32418,127.380468
38,2018-01-22,1,자동차,대전시 서구 갈마로219번길 29,괴정동,N,36.336752,127.380424
39,2018-01-22,1,자동차,대전시 서구 갈마동 363-5,갈마1동,N,36.348175,127.369014
40,2018-01-22,1,자동차,대전시 서구 탄방동 1312,탄방동,N,36.348604,127.399894
41,2018-01-22,1,자동차,대전시 서구 관저동 1281 앞,관저2동,N,36.300674,127.339814
42,2018-01-22,1,자동차,대전시 서구 관저동 1563-5,관저2동,Y,36.295376,127.338289
43,2018-01-22,1,자동차,"대전시 서구 도안동 1362, 도안아이파크 1502동 지하주차장",가수원동,N,36.321279,127.346779
44,2018-01-22,1,자동차,대전시 서구 문정로2번길 51 씨티빌 1층 주차장 내,탄방동,N,36.343812,127.382696
45,2018-01-22,1,자동차,대전시 서구 변동로 91,변동,N,36.324401,127.382994
46,2018-01-26,1,자동차,대전시 서구 도마동 71-74,도마1동,N,36.320758,127.379303
47,2018-01-26,1,자동차,대전시 서구 괴정동 426-1 리베라 아이누리주상아파트 지하1층 주차장,괴정동,N,36.339482,127.388991
48,2018-01-26,1,자동차,대전 서구 문정로48번길 19,탄방동,N,36.345956,127.384228
49,2018-01-26,1,자동차,대전시 서구 용문동 213-26,용문동,N,36.342443,127.400509
50,2018-01-31,1,자동차,대전시 서구 변동 12-43 예산슈퍼 앞,변동,N,36.328154,127.382074
51,2018-01-31,1,자동차,대전시 서구 괴정동 84-54 광진빌라 내,괴정동,N,36.33552,127.384421
52,2018-01-31,1,자동차,대전시 서구 탄방동 636 스위트빌 2차 지하3층,탄방동,Y,36.344043,127.382048
53,2018-01-31,1,자동차,대전시 서구 문정로48번길 70 우리병원 앞,탄방동,Y,36.343666,127.384057
54,2018-02-06,1,자동차,"대전시 서구 복수동 901, 서광빌라",복수동,N,36.296234,127.379019
55,2018-02-06,1,자동차,대전시 서구 변동서로 28번길 52,변동,N,36.332068,127.366983
56,2018-02-06,1,자동차,대전시 서구 용문동 263-27,용문동,N,36.335669,127.390491
57,2018-02-06,1,자동차,대전시 서구 용문동 282-1,용문동,N,36.333908,127.393468
58,2018-02-08,1,자동차,대전시 서구 월평동 517,월평1동,N,36.35696,127.363629
59,2018-02-08,1,자동차,대전시 서구 갈마동 376-7,갈마1동,N,36.347102,127.367307
60,2018-02-12,1,자동차,대전시 서구 변동 5-27,변동,N,36.327731,127.385719
61,2018-02-13,1,자동차,대전시 서구 만년로68번길 15-20,만년동,N,36.366373,127.381448
62,2018-02-13,1,자동차,대전시 서구 도안동로 177 수목토아파트 108동 지하주차장,가수원동,Y,36.319694,127.346937
63,2018-02-19,1,자동차,대전시 서구 변동 46-1,변동,N,36.324076,127.383019
64,2018-02-19,1,자동차,대전시 서구 둔산동 911,둔산2동,N,36.358337,127.394359
65,2018-02-19,1,자동차,대전시 서구 도마동 97-3,도마1동,N,36.319086,127.378336
66,2018-02-22,1,자동차,대전시 서구 가장로 106,가장동,N,36.332889,127.384442
67,2018-02-22,1,자동차,대전시 서구 둔산동 2084,둔산3동,N,36.350179,127.401174
68,2018-02-22,1,자동차,대전시 서구 도마동 15-2 도마슈퍼 앞,도마1동,N,36.327108,127.371512
69,2018-02-25,1,자동차,대전시 서구 도안동로 77 린풀하우스 아파트 1808동 지하주차장 맞은편,가수원동,Y,36.310461,127.349575
70,2018-02-28,1,자동차,대전 서구 한밭대로 733 둔산경찰서 내,둔산2동,Y,36.358374,127.380498
71,2018-02-28,1,자동차,대전 서구 한밭대로 733 둔산경찰서 내,둔산2동,Y,36.358374,127.380498
72,2018-03-02,1,자동차,대전시 서구 만년동 88,만년동,N,36.365315,127.372208
73,2018-03-02,1,자동차,대전시 서구 탄방동 1482-15 근처,탄방동,N,36.344719,127.399834
74,2018-03-02,1,자동차,대전시 서구 둔산동 1797 큰 도로,둔산2동,N,36.361923,127.395969
75,2018-03-02,1,자동차,대전시 서구 갈마동 854,갈마1동,N,36.351926,127.372928
76,2018-03-02,1,자동차,대전시 서구 탄방동 1073,탄방동,Y,36.34535,127.396142
77,2018-03-05,1,자동차,대전시 서구 탄방동 589 보라매공원 샤크존 사이,탄방동,N,36.348239,127.384823
78,2018-03-05,1,자동차,대전시 서구 용문동 227-1,용문동,N,36.3422,127.39884
79,2018-03-05,1,자동차,"대전시 서구 신갈마로195번길 13, 갈마동성당 뒤",갈마1동,N,36.350726,127.367412
80,2018-03-05,1,자동차,대전시 서구 괴정동 46-9,괴정동,N,36.339901,127.386281
81,2018-03-05,1,자동차,대전시 서구 괴정로 203 한마음아파트 지하2층 주차장 내,용문동,N,36.33212,127.392724
82,2018-03-05,1,자동차,대전시 서구 대덕대로 151번길 42,갈마2동,N,36.348492,127.372911
83,2018-03-05,1,자동차,대전시 서구 대덕대로 151번길 42,갈마2동,N,36.348492,127.372911
84,2018-03-07,1,자동차,대전시 서구 용화7길 27,도마1동,N,36.320534,127.374249
85,2018-03-07,1,자동차,대전시 서구 변동 63-56,변동,N,36.32264,127.380725
86,2018-03-07,1,자동차,대전시 서구 가수원동 1051 좋은빌딩 지하주차장,가수원동,N,36.304905,127.350445
87,2018-03-07,1,자동차,대전시 서구 둔산동 1491,둔산1동,N,36.350011,127.389477
88,2018-03-07,1,자동차,대전시 서구 정림동 18-16 계림어린이공원 옆,정림동,N,36.306333,127.368015
89,2018-03-08,1,자동차,대전시 서구 용문동 216-10 다솜아파트 옆,용문동,N,36.341454,127.401085
90,2018-03-08,1,자동차,대전시 서구 탄방동 638 시티빌3차 지하4층 주차장 내,탄방동,Y,36.343812,127.382696
91,2018-03-08,1,자동차,대전시 서구 탄방동 638 시티빌3차 지하4층 주차장 내,탄방동,N,36.343812,127.382696
92,2018-03-08,1,자동차,대전시 서구 관저동로 42 느리울13단지 1305동 지하주차장 내,관저2동,N,36.29627,127.343503
93,2018-03-08,1,자동차,대전시 서구 관저동로 42 느리울13단지 1305동 지하주차장 내,관저2동,Y,36.29627,127.343503
94,2018-03-08,1,자동차,대전시 서구 관저동로 42 느리울13단지 1305동 지하주차장 내,관저2동,Y,36.29627,127.343503
95,2018-03-08,1,자동차,대전시 서구 관저동로 42 느리울13단지 1305동 지하주차장 내,관저2동,N,36.29627,127.343503
96,2018-03-09,1,자동차,대전시 서구 갈마로 144,괴정동,N,36.340626,127.373152
97,2018-03-09,1,자동차,대전시 서구 갈마동 343-28 서부소방서 주차장 내,갈마2동,Y,36.348179,127.371521
98,2018-03-09,1,자동차,대전시 서구 갈마동 307-14,갈마1동,Y,36.351463,127.368832
99,2018-03-09,1,자동차,"대전시 서구 갈마동 271-14, 황금빌 앞",갈마1동,Y,36.352143,127.371266
100,2018-03-11,1,자동차,대전시 서구 월평동 459,월평1동,N,36.35717,127.360797
101,2018-03-11,1,자동차,대전시 서구 변동 50-1 변동우체국 앞,변동,N,36.325351,127.378643
102,2018-03-11,1,자동차,대전시 서구 도마6길 184,도마1동,N,36.317854,127.382266
103,2018-03-11,1,자동차,대전시 서구 갈마로 80,갈마1동,N,36.345309,127.369149
104,2018-03-13,1,자동차,대전시 서구 도마동 109-6,도마2동,N,36.316932,127.373053
105,2018-03-18,1,자동차,대전시 서구 괴정동 127-16,괴정동,N,36.34011,127.374393
106,2018-03-18,1,자동차,"대전시 서구 탄방동 681, 풍전삼계탕 주차장 내",탄방동,Y,36.342921,127.38814
