INDEX,STD_YM,QU,HLD,DONG,CTGR,LCT,FRGH_PRK_ADDR,LA,LO
1,201801,Q1,0,월평3동,화물,월평동 서대전고등학교 부근,대전 서구 월평동 307,36.360522,127.369137
2,201801,Q1,0,월평3동,화물,월평동 은평공원 부근,대전 서구 월평동 313,36.359588,127.362905
3,201801,Q1,0,월평3동,화물,월평동 은평공원 부근,대전 서구 월평동 313,36.359588,127.362905
4,201801,Q1,0,월평3동,화물,월평동 은평공원 부근,대전 서구 월평동 313,36.359588,127.362905
5,201801,Q1,0,월평3동,화물,월평동 은평공원 부근,대전 서구 월평동 313,36.359588,127.362905
6,201801,Q1,0,월평3동,화물,월평동 은평공원 부근,대전 서구 월평동 313,36.359588,127.362905
7,201801,Q1,0,월평3동,화물,월평동 서대전고등학교 부근,대전 서구 월평동 307,36.360522,127.369137
8,201801,Q1,0,월평3동,화물,월평동 은평공원 부근,대전 서구 월평동 313,36.359588,127.362905
9,201801,Q1,0,월평3동,화물,월평동 은평공원 부근,대전 서구 월평동 313,36.359588,127.362905
10,201801,Q1,0,월평3동,건설기계,월평동 은평공원 앞,대전 서구 월평동 313,36.359588,127.362905
11,201801,Q1,0,월평3동,건설기계,월평동 서대전고등학교 앞,대전 서구 월평동 307,36.360522,127.369137
12,201801,Q1,0,월평3동,건설기계,월평동 서대전고등학교 앞,대전 서구 월평동 307,36.360522,127.369137
13,201801,Q1,0,월평3동,건설기계,월평동 서대전고등학교 앞,대전 서구 월평동 307,36.360522,127.369137
14,201801,Q1,0,월평3동,건설기계,월평동 은평공원 앞,대전 서구 월평동 313,36.359588,127.362905
15,201802,Q1,1,관저1동,화물,관저동 원앙마을 부근,대전 서구 관저동 984,36.309077,127.338808
16,201802,Q1,1,관저1동,화물,관저동 원앙마을 부근,대전 서구 관저동 984,36.309077,127.338808
17,201802,Q1,1,복수동,화물,복수동 초록마을 부근,대전 서구 복수동 611,36.303259,127.379809
18,201802,Q1,1,복수동,화물,복수동 초록마을 부근,대전 서구 복수동 611,36.303259,127.379809
19,201802,Q1,1,관저1동,화물,관저동 원앙마을 부근,대전 서구 관저동 984,36.309077,127.338808
20,201802,Q1,1,관저2동,화물,관저동 천년나무 부근,대전 서구 관저동 1599,36.293199,127.343996
21,201802,Q1,1,관저1동,여객,관저동 원앙마을 부근,대전 서구 관저동 984,36.309077,127.338808
22,201802,Q1,1,복수동,건설기계,복수동 초록마을아파트 2~3단지 앞,대전 서구 복수동 612,36.30135,127.380248
23,201803,Q1,0,용문동,화물,가장동 한마음아파트 부근,대전 서구 용문동 285-3,36.33212,127.392724
24,201803,Q1,0,괴정동,화물,괴정동 괴정고등학교 부근,대전 서구 괴정동 120,36.340162,127.379183
25,201803,Q1,0,괴정동,화물,괴정동 괴정고등학교 부근,대전 서구 괴정동 120,36.340162,127.379183
26,201803,Q1,0,복수동,화물,복수동 초록마을 부근,대전 서구 복수동 611,36.303259,127.379809
27,201803,Q1,0,괴정동,화물,괴정동 괴정고등학교 부근,대전 서구 괴정동 120,36.340162,127.379183
28,201803,Q1,0,괴정동,화물,괴정동 괴정고등학교 부근,대전 서구 괴정동 120,36.340162,127.379183
29,201803,Q1,0,괴정동,여객,괴정동 괴정고등학교 부근,대전 서구 괴정동 120,36.340162,127.379183
30,201803,Q1,0,용문동,여객,용문동 한마음아파트 부근,대전 서구 용문동 285-3,36.33212,127.392724
31,201803,Q1,0,괴정동,여객,괴정동 괴정고등학교 부근,대전 서구 괴정동 120,36.340162,127.379183
32,201803,Q1,0,괴정동,건설기계,괴정동 괴정고등학교 앞 도로,대전 서구 괴정동 120,36.340162,127.379183
33,201803,Q1,0,괴정동,건설기계,괴정동 괴정고등학교 앞 도로,대전 서구 괴정동 120,36.340162,127.379183
34,201804,Q2,0,복수동,화물,월평동 월평중로 부근,대전 서구 복수동 611,36.303259,127.379809
35,201804,Q2,0,관저2동,화물,월평동 월평중로 부근,대전 서구 관저동 1137,36.29937,127.327366
36,201804,Q2,0,관저2동,화물,월평동 월평중로 부근,대전 서구 관저동 1137,36.29937,127.327366
37,201804,Q2,0,관저2동,화물,월평동 둔산대로 부근,대전 서구 관저동 1137,36.29937,127.327366
38,201804,Q2,0,관저2동,화물,월평동 둔산대로 부근,대전 서구 관저동 1137,36.29937,127.327366
39,201804,Q2,0,관저2동,여객,복수동 초록마을 부근,대전 서구 관저동 1137,36.29937,127.327366
40,201804,Q2,0,관저2동,여객,월평동 둔산대로 부근,대전 서구 관저동 1137,36.29937,127.327366
41,201804,Q2,0,관저1동,건설기계,월평동 월평공원 앞 도로,대전 서구 관저동 984,36.309077,127.338808
42,201804,Q2,0,관저1동,건설기계,월평동 월평공원 앞 도로,대전 서구 관저동 984,36.309077,127.338808
43,201805,Q2,1,관저1동,화물,관저동 구봉마을 부근,대전 서구 관저동 984,36.309077,127.338808
44,201805,Q2,1,관저1동,화물,관저동 구봉마을 부근,대전 서구 관저동 984,36.309077,127.338808
45,201805,Q2,1,관저1동,화물,관저동 구봉마을 부근,대전 서구 관저동 984,36.309077,127.338808
46,201805,Q2,1,관저1동,화물,관저동 예비군 훈련서부근,대전 서구 관저동 984,36.309077,127.338808
47,201805,Q2,1,관저1동,화물,관저동 예비군 훈련서부근,대전 서구 관저동 984,36.309077,127.338808
48,201805,Q2,1,관저1동,화물,관저동 구봉마을 부근,대전 서구 관저동 984,36.309077,127.338808
49,201805,Q2,1,관저1동,화물,관저동 구봉마을 부근,대전 서구 관저동 984,36.309077,127.338808
50,201805,Q2,1,관저1동,화물,관저동 예비군 훈련서부근,대전 서구 관저동 984,36.309077,127.338808
51,201805,Q2,1,관저1동,화물,관저동 예비군 훈련서부근,대전 서구 관저동 984,36.309077,127.338808
52,201805,Q2,1,관저1동,화물,관저동 더샵 부근,대전 서구 관저동 984,36.309077,127.338808
53,201805,Q2,1,관저1동,건설기계,서구 관저동 구봉마을아파트 5단지 부근,대전 서구 관저동 984,36.309077,127.338808
54,201805,Q2,1,관저1동,건설기계,서구 관저동 더?아파트 105동 부근,대전 서구 관저동 984,36.309077,127.338808
55,201805,Q2,1,관저1동,건설기계,서구 관저동 예비군훈련장 입구대전 서구 관저동 산83-6,대전 서구 관저동 984,36.309077,127.338808
56,201805,Q2,1,관저1동,건설기계,서구 관저동 예비군훈련장 입구,대전 서구 관저동 984,36.309077,127.338808
57,201805,Q2,1,관저1동,건설기계,서구 관저동 예비군훈련장 입구,대전 서구 관저동 984,36.309077,127.338808
58,201806,Q2,0,관저1동,화물,용문동 괴정로149번길 부근,대전 서구 관저동 984,36.309077,127.338808
59,201806,Q2,0,관저1동,화물,용문동 괴정로149번길 부근,대전 서구 관저동 984,36.309077,127.338808
60,201806,Q2,0,관저1동,화물,가장동 도산로282번길 부근,대전 서구 관저동 984,36.309077,127.338808
61,201806,Q2,0,관저1동,화물,가장동 유등로 부근,대전 서구 관저동 984,36.309077,127.338808
62,201806,Q2,0,관저1동,화물,가장동 유등로 부근,대전 서구 관저동 984,36.309077,127.338808
63,201806,Q2,0,관저1동,여객,가장동 도산로 부근,대전 서구 관저동 984,36.309077,127.338808
64,201806,Q2,0,관저1동,여객,가장동 유등로 부근,대전 서구 관저동 984,36.309077,127.338808
65,201806,Q2,0,관저1동,여객,가장동 유등로 부근,대전 서구 관저동 984,36.309077,127.338808
66,201806,Q2,0,괴정동,여객,가장동 유등로 부근,대전 서구 괴정동 괴정로22번길,36.3393,127.378198
67,201806,Q2,0,괴정동,여객,가장동 도산로 부근,대전 서구 괴정동 괴정로22번길,36.3393,127.378198
68,201806,Q2,0,괴정동,여객,가장동 유등로 부근,대전 서구 괴정동 괴정로22번길,36.3393,127.378198
69,201806,Q2,0,괴정동,여객,내동 도산로 부근,대전 서구 괴정동 괴정로22번길,36.3393,127.378198
70,201806,Q2,0,월평3동,여객,가장동 갈마로261번길 부근,대전 서구 월평동 313,36.359588,127.362905
71,201806,Q2,0,월평3동,건설기계,대전 서구 용문동 한마음아파트 부근 천변.,대전 서구 월평동 313,36.359588,127.362905
72,201807,Q3,0,월평3동,화물,서구 복수동로 부근,대전 서구 월평동 307,36.360522,127.369137
73,201807,Q3,0,월평3동,화물,서구 복수동로 부근,대전 서구 월평동 313,36.359588,127.362905
74,201807,Q3,0,월평3동,화물,서구 복수동로 부근,대전 서구 월평동 313,36.359588,127.362905
75,201807,Q3,0,월평3동,화물,정림동 우성아파트 부근,대전 서구 월평동 307,36.360522,127.369137
76,201807,Q3,0,월평3동,화물,정림동 우성아파트 부근,대전 서구 월평동 307,36.360522,127.369137
77,201807,Q3,0,관저1동,화물,정림동 우성아파트 부근,대전 서구 관저동 984,36.309077,127.338808
78,201807,Q3,0,관저1동,화물,정림동 우성아파트 부근,대전 서구 관저동 984,36.309077,127.338808
79,201807,Q3,0,관저1동,화물,정림동 우성아파트 부근,대전 서구 관저동 984,36.309077,127.338808
80,201807,Q3,0,관저1동,화물,정림동 우성아파트 부근,대전 서구 관저동 984,36.309077,127.338808
81,201807,Q3,0,관저1동,화물,정림동 우성아파트 부근,대전 서구 관저동 984,36.309077,127.338808
82,201807,Q3,0,관저1동,화물,정림동 우성아파트 부근,대전 서구 관저동 984,36.309077,127.338808
83,201807,Q3,0,관저1동,화물,서구 복수동로 부근,대전 서구 관저동 984,36.309077,127.338808
84,201807,Q3,0,관저1동,화물,서구 복수동로 부근,대전 서구 관저동 984,36.309077,127.338808
85,201807,Q3,0,관저1동,화물,서구 복수동로 부근,대전 서구 관저동 984,36.309077,127.338808
86,201807,Q3,0,관저1동,화물,정림동 우성아파트 부근,대전 서구 관저동 984,36.309077,127.338808
87,201807,Q3,0,관저1동,화물,정림동 우성아파트 부근,대전 서구 관저동 984,36.309077,127.338808
88,201807,Q3,0,관저1동,화물,정림동 우성아파트 부근,대전 서구 관저동 984,36.309077,127.338808
89,201807,Q3,0,관저1동,화물,정림동 우성아파트 부근,대전 서구 관저동 984,36.309077,127.338808
90,201807,Q3,0,관저1동,화물,정림동 우성아파트 부근,대전 서구 관저동 984,36.309077,127.338808
91,201807,Q3,0,관저1동,화물,정림동 우성아파트 부근,대전 서구 관저동 984,36.309077,127.338808
92,201807,Q3,0,관저1동,화물,정림동 우성아파트 부근,대전 서구 관저동 984,36.309077,127.338808
93,201807,Q3,0,관저1동,여객,정림동 우성아파트 부근,대전 서구 관저동 984,36.309077,127.338808
94,201807,Q3,0,관저1동,여객,정림동 우성아파트 부근,대전 서구 관저동 984,36.309077,127.338808
95,201807,Q3,0,관저1동,여객,정림동 우성아파트 부근,대전 서구 관저동 984,36.309077,127.338808
96,201807,Q3,0,관저1동,여객,관저동 원앙마을 부근,대전 서구 관저동 984,36.309077,127.338808
97,201807,Q3,0,관저1동,건설기계,대전 서구 복수동 984부근,대전 서구 관저동 984,36.309077,127.338808
98,201807,Q3,0,관저1동,건설기계,대전 서구 복수동 984부근,대전 서구 관저동 984,36.309077,127.338808
99,201807,Q3,0,관저1동,건설기계,대전 서구 정림동 402-2 서구국민체육센터 부근,대전 서구 관저동 984,36.309077,127.338808
100,201807,Q3,0,관저1동,건설기계,대전 서구 정림동 402-2 서구국민체육센터 부근,대전 서구 관저동 984,36.309077,127.338808
101,201807,Q3,0,월평3동,건설기계,대전 서구 정림동 402-2 서구국민체육센터 부근,대전 서구 월평동 313,36.359588,127.362905
102,201807,Q3,0,월평3동,건설기계,대전 서구 정림동 402-2 서구국민체육센터 부근,대전 서구 월평동 313,36.359588,127.362905
103,201807,Q3,0,월평3동,건설기계,대전 서구 정림동 402-2 서구국민체육센터 부근,대전 서구 월평동 313,36.359588,127.362905
104,201808,Q3,0,월평3동,화물,관저동 원앙마을 부근,대전 서구 월평동 313,36.359588,127.362905
105,201808,Q3,0,월평3동,화물,관저동 원앙마을 부근,대전 서구 월평동 313,36.359588,127.362905
106,201808,Q3,0,월평3동,화물,관저동 원앙마을 부근,대전 서구 월평동 307,36.360522,127.369137
107,201808,Q3,0,월평3동,화물,관저동 원앙마을 부근,대전 서구 월평동 307,36.360522,127.369137
108,201808,Q3,0,월평3동,화물,관저동 원앙마을 부근,대전 서구 월평동 313,36.359588,127.362905
109,201808,Q3,0,월평3동,화물,관저동 원앙마을 부근,대전 서구 월평동 313,36.359588,127.362905
110,201808,Q3,0,월평3동,화물,관저동 원앙마을 부근,대전 서구 월평동 307,36.360522,127.369137
111,201808,Q3,0,월평3동,화물,관저동 원앙마을 부근,대전 서구 월평동 313,36.359588,127.362905
112,201808,Q3,0,월평3동,화물,관저동 원앙마을 부근,대전 서구 월평동 307,36.360522,127.369137
113,201808,Q3,0,월평3동,화물,관저동 원앙마을 부근,대전 서구 월평동 307,36.360522,127.369137
114,201808,Q3,0,관저1동,화물,관저동 원앙마을 부근,대전 서구 관저동 984,36.309077,127.338808
115,201808,Q3,0,관저1동,화물,관저동 원앙마을 부근,대전 서구 관저동 984,36.309077,127.338808
116,201808,Q3,0,관저1동,화물,관저동 원앙마을 부근,대전 서구 관저동 984,36.309077,127.338808
117,201808,Q3,0,관저1동,화물,관저동 원앙마을 부근,대전 서구 관저동 984,36.309077,127.338808
118,201808,Q3,0,관저1동,화물,관저동 원앙마을 부근,대전 서구 관저동 984,36.309077,127.338808
119,201808,Q3,0,관저1동,화물,관저동 원앙마을 부근,대전 서구 관저동 984,36.309077,127.338808
120,201808,Q3,0,관저1동,화물,관저동 원앙마을 부근,대전 서구 관저동 984,36.309077,127.338808
121,201808,Q3,0,관저1동,여객,관저동 원앙마을 부근,대전 서구 관저동 984,36.309077,127.338808
122,201808,Q3,0,관저1동,여객,관저동 원앙마을 부근,대전 서구 관저동 984,36.309077,127.338808
123,201808,Q3,0,관저1동,여객,관저동 원앙마을 부근,대전 서구 관저동 984,36.309077,127.338808
124,201808,Q3,0,관저1동,여객,관저동 원앙마을 부근,대전 서구 관저동 984,36.309077,127.338808
