TYPE,YEAR,MONTH,DOW,HOLIDAY_YN,TIME,REGION,DONG,GUBUN,ADDR,LO,LA,H_DONG,REG_CT,LABEL
승용,2020,1,수,1,15,고려안경원,둔산동,안전신문고,대전 서구 대덕대로 211 갤러리아타임월드백화점,127.378153,36.351972,둔산2동,35,3.상습
승용,2020,1,수,1,16,행복한곰탕,둔산동,안전신문고,대전 서구 둔산북로 36 110호,127.378359,36.355488,둔산2동,23,3.상습
승용,2020,1,수,1,16,행복한곰탕,둔산동,안전신문고,대전 서구 둔산북로 36 110호,127.378359,36.355488,둔산2동,23,3.상습
승용,2020,1,수,1,16,선사인혜요양병원,월평동,안전신문고,대전 서구 대덕대로317번길 26,127.377911,36.361334,월평2동,23,3.상습
승용,2020,1,수,1,17,지산프라자2(복권판매점),가수원동,생활불편신고,대전 서구 원도안로 16,127.349169,36.305665,가수원동,48,3.상습
승용,2020,1,수,1,20,지산프라자2(복권판매점),가수원동,생활불편신고,대전 서구 원도안로 16,127.349169,36.305665,가수원동,48,3.상습
승용,2020,1,수,1,20,롯데시네마,월평동,생활불편신고,대전 서구 대덕대로 325 스타게이트 12층,127.378921,36.361916,월평2동,10,2.준상습
승용,2020,1,목,0,3,맛깔참죽,둔산동,안전신문고,대전 서구 둔산로 230 1층(둔산동),127.399496,36.351062,둔산3동,10,2.준상습
승용,2020,1,목,0,8,느리울유치원,관저동,고정형CCTV,대전 서구 구봉로147번길 64,127.338679,36.299262,관저2동,63,3.상습
승용,2020,1,목,0,14,MK클리닉,가수원동,고정형CCTV,대전 서구 계백로 1135,127.349489,36.304774,가수원동,19,3.상습
승용,2020,1,목,0,16,MK클리닉,가수원동,고정형CCTV,대전 서구 계백로 1135,127.349489,36.304774,가수원동,19,3.상습
승용,2020,1,목,0,16,할리스커피,괴정동,생활불편신고,대전 서구 용문로 41-80,127.388991,36.339482,괴정동,33,3.상습
승용,2020,1,목,0,16,MK클리닉,가수원동,고정형CCTV,대전 서구 계백로 1135,127.349489,36.304774,가수원동,19,3.상습
승용,2020,1,목,0,18,뉴스타상회,월평동,안전신문고,대전 서구 월평중로24번길 23,127.365201,36.356761,월평1동,4,2.준상습
승용,2020,1,목,0,19,청솔아파트,둔산동,안전신문고,대전 서구 둔산로 223,127.398639,36.352365,둔산3동,6,2.준상습
승용,2020,1,목,0,22,도마태평양약국,도마동,생활불편신고,대전 서구 배재로 182-1,127.370573,36.324777,도마1동,2,2.준상습
승용,2020,1,금,0,13,계룡로(ZURI),월평동,안전신문고,대전 서구 월평중로4번길 21 101호,127.365194,36.354869,월평1동,7,2.준상습
화물4톤이하,2020,1,금,0,16,둔산중로부근,둔산1동,주행형CCTV,대전광역시 서구 둔산동 918,127.387665,36.359429,둔산2동,5,2.준상습
승용,2020,1,금,0,17,MK클리닉,가수원동,고정형CCTV,대전 서구 계백로 1135,127.349489,36.304774,가수원동,19,3.상습
승용,2020,1,토,1,14,신한은행,관저동,안전신문고,대전 서구 관저로 157 하이존,127.339747,36.299349,관저2동,34,3.상습
승용,2020,1,토,1,14,지산프라자2(복권판매점),가수원동,생활불편신고,대전 서구 원도안로 16,127.349169,36.305665,가수원동,48,3.상습
승용,2020,1,토,1,15,지산프라자2(복권판매점),가수원동,생활불편신고,대전 서구 원도안로 16,127.349169,36.305665,가수원동,48,3.상습
